method_num,method,column,mean,se,n,note
0,Base,Raw,-10.05395647885814,8.392887876749555,3,OK
0,Base,PMI self,8.825624471445915,7.572477701227427,3,OK
0,Base,PMI base,,,0,NA per template
0,Base,Neg self,57.033294713089816,9.574835349456748,3,OK
0,Base,Neg base,,,0,NA per template
1,SFT labelonly 10%,Raw,2.3513509606081766,8.95315465064607,3,OK
1,SFT labelonly 10%,PMI self,15.999571683664039,10.655695022679629,3,OK
1,SFT labelonly 10%,PMI base,15.835121422897872,9.457378259210095,3,OK
1,SFT labelonly 10%,Neg self,33.054206015317696,3.876830270688501,3,OK
1,SFT labelonly 10%,Neg base,30.229132782766573,5.425673419739771,3,OK
2,RankAlign,Raw,-20.97599514638428,8.766197658794754,3,OK
2,RankAlign,PMI self,7.9454201909476225,5.201638030256376,3,OK
2,RankAlign,PMI base,17.849027663651636,2.0405385066084576,3,OK
2,RankAlign,Neg self,60.56904356573395,4.636367766446588,3,OK
2,RankAlign,Neg base,51.57734485169089,4.418141549575381,3,OK
3,New + fsx [-TC],Raw,-22.882451027306956,4.343477951872717,3,OK
3,New + fsx [-TC],PMI self,-16.328972517722672,5.799199356688678,3,OK
3,New + fsx [-TC],PMI base,-19.44901635886217,2.739690134809889,3,OK
3,New + fsx [-TC],Neg self,47.449908989352146,8.088360774463196,3,OK
3,New + fsx [-TC],Neg base,24.648159302132644,4.125733967655417,3,OK
4,New + PMI + fsx,Raw,-19.844325731334255,4.749823388277467,3,OK
4,New + PMI + fsx,PMI self,-2.5955422223694007,2.051194005251978,3,OK
4,New + PMI + fsx,PMI base,-9.878353068201262,5.200244075005784,3,OK
4,New + PMI + fsx,Neg self,,,0,NA per template
4,New + PMI + fsx,Neg base,,,0,NA per template
5,RA + PMI + fsx [-NLL],Raw,-20.99767076415615,7.186453285296775,3,OK
5,RA + PMI + fsx [-NLL],PMI self,-10.787881946330328,5.656752661213383,3,OK
5,RA + PMI + fsx [-NLL],PMI base,-7.2136205735272965,4.687994825299993,3,OK
5,RA + PMI + fsx [-NLL],Neg self,,,0,NA per template
5,RA + PMI + fsx [-NLL],Neg base,,,0,NA per template
6,RA + PMI [+TC],Raw,-31.259494973816853,8.506333468619966,3,OK
6,RA + PMI [+TC],PMI self,-23.275512474592897,3.9875020505206393,3,OK
6,RA + PMI [+TC],PMI base,-12.89397385128826,3.5169163421178875,3,OK
6,RA + PMI [+TC],Neg self,,,0,NA per template
6,RA + PMI [+TC],Neg base,,,0,NA per template
7,New + NegTC + fsx,Raw,-16.646650331883393,3.2422128586707553,3,OK
7,New + NegTC + fsx,PMI self,,,0,NA per template
7,New + NegTC + fsx,PMI base,,,0,NA per template
7,New + NegTC + fsx,Neg self,50.28477157845098,6.221397528614081,3,OK
7,New + NegTC + fsx,Neg base,33.19227597251605,4.912833675913319,3,OK
8,RA + NegTC + fsx [-NLL],Raw,-27.229492450520723,8.71881234082116,3,OK
8,RA + NegTC + fsx [-NLL],PMI self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],PMI base,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg self,47.27500061241051,8.679413980539799,3,OK
8,RA + NegTC + fsx [-NLL],Neg base,28.106670081098866,10.64351798309677,3,OK
9,RA + NegTC [+TC],Raw,-21.887053042760964,7.3101613074347815,3,OK
9,RA + NegTC [+TC],PMI self,,,0,NA per template
9,RA + NegTC [+TC],PMI base,,,0,NA per template
9,RA + NegTC [+TC],Neg self,72.5557065045945,5.782781551145222,3,OK
9,RA + NegTC [+TC],Neg base,43.474208686111176,5.89802808613202,3,OK
