method_num,method,column,mean,se,n,note
0,Base,Raw,48.55599999999999,5.174899312901332,6,OK
0,Base,PMI self,57.40106666666666,3.008502047937553,6,OK
0,Base,PMI base,,,0,NA per template
0,Base,Neg self,75.82263333333333,3.2820173285817837,6,OK
0,Base,Neg base,,,0,NA per template
1,SFT labelonly 10%,Raw,65.97666666666667,12.014089917722071,6,OK
1,SFT labelonly 10%,PMI self,69.28526666666669,10.592454030760663,6,OK
1,SFT labelonly 10%,PMI base,70.62976666666665,11.808687899612067,6,OK
1,SFT labelonly 10%,Neg self,75.4557,2.7120354470397334,6,OK
1,SFT labelonly 10%,Neg base,77.4609,9.433345306906418,6,OK
2,RankAlign,Raw,64.06993333333332,11.306151991745223,6,OK
2,RankAlign,PMI self,62.27436666666668,4.312742280704678,6,OK
2,RankAlign,PMI base,73.46723333333334,7.360789545769608,6,OK
2,RankAlign,Neg self,81.65866666666666,5.595499999026993,6,OK
2,RankAlign,Neg base,84.05336666666666,3.1309340563338446,6,OK
3,New + fsx [-TC],Raw,52.89496666666667,9.73608786010982,6,OK
3,New + fsx [-TC],PMI self,46.983066666666666,4.6039706288280255,6,OK
3,New + fsx [-TC],PMI base,56.49173333333332,8.98593729211248,6,OK
3,New + fsx [-TC],Neg self,69.94803333333334,4.969484988585616,6,OK
3,New + fsx [-TC],Neg base,70.908,3.785510789664541,6,OK
4,New + PMI + fsx,Raw,55.56826666666666,10.261587848498129,6,OK
4,New + PMI + fsx,PMI self,55.56106666666667,4.689203669897244,6,OK
4,New + PMI + fsx,PMI base,62.52873333333333,9.709900111077925,6,OK
4,New + PMI + fsx,Neg self,,,0,NA per template
4,New + PMI + fsx,Neg base,,,0,NA per template
5,RA + PMI + fsx [-NLL],Raw,58.52206666666667,10.593738765977657,6,OK
5,RA + PMI + fsx [-NLL],PMI self,65.69869999999999,9.174081870828639,6,OK
5,RA + PMI + fsx [-NLL],PMI base,69.48913333333333,11.342254265611302,6,OK
5,RA + PMI + fsx [-NLL],Neg self,,,0,NA per template
5,RA + PMI + fsx [-NLL],Neg base,,,0,NA per template
6,RA + PMI [+TC],Raw,58.024033333333335,10.255306934124942,6,OK
6,RA + PMI [+TC],PMI self,55.20229999999999,7.301992300324616,6,OK
6,RA + PMI [+TC],PMI base,69.73270000000001,10.86921613913963,6,OK
6,RA + PMI [+TC],Neg self,,,0,NA per template
6,RA + PMI [+TC],Neg base,,,0,NA per template
7,New + NegTC + fsx,Raw,55.25483333333333,9.899486527211625,6,OK
7,New + NegTC + fsx,PMI self,,,0,NA per template
7,New + NegTC + fsx,PMI base,,,0,NA per template
7,New + NegTC + fsx,Neg self,73.48299999999999,4.574808310738278,6,OK
7,New + NegTC + fsx,Neg base,77.70693333333334,3.9531409289885486,6,OK
8,RA + NegTC + fsx [-NLL],Raw,57.6073,10.402786991154503,6,OK
8,RA + NegTC + fsx [-NLL],PMI self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],PMI base,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg self,65.06903333333334,6.927429093570315,6,OK
8,RA + NegTC + fsx [-NLL],Neg base,82.70236666666666,5.537240959760055,6,OK
9,RA + NegTC [+TC],Raw,58.57150000000001,10.424649713539539,6,OK
9,RA + NegTC [+TC],PMI self,,,0,NA per template
9,RA + NegTC [+TC],PMI base,,,0,NA per template
9,RA + NegTC [+TC],Neg self,82.62306666666667,6.524362278857434,6,OK
9,RA + NegTC [+TC],Neg base,83.90476666666666,5.276603133940537,6,OK
