method_num,method,column,mean,se,n,note
0,Base,Raw,20.971388879745316,1.9629290521226155,3,OK
0,Base,PMI self,21.61438521147689,7.394355219436882,3,OK
0,Base,PMI base,,,0,NA per template
0,Base,Neg self,44.57453295838201,3.1464061075451797,3,OK
0,Base,Neg base,,,0,NA per template
1,SFT labelonly 10%,Raw,64.92168153280237,0.839381527756022,3,OK
1,SFT labelonly 10%,PMI self,59.46753479405064,0.8745541707783105,3,OK
1,SFT labelonly 10%,PMI base,71.28087949669252,0.4003081869003641,3,OK
1,SFT labelonly 10%,Neg self,41.05531853706095,1.351404521358353,3,OK
1,SFT labelonly 10%,Neg base,71.89414503721899,0.7781091442386995,3,OK
2,RankAlign,Raw,47.26180672523003,5.040944154466037,3,OK
2,RankAlign,PMI self,21.87577265086342,8.146555811117045,3,OK
2,RankAlign,PMI base,57.10680338220385,5.266204908074669,3,OK
2,RankAlign,Neg self,41.40527124895026,9.72712769204998,3,OK
2,RankAlign,Neg base,60.658870124070916,4.576658881077729,3,OK
3,New + fsx [-TC],Raw,40.55869421746781,5.556366754101172,3,OK
3,New + fsx [-TC],PMI self,12.357013134673394,8.296176458075085,3,OK
3,New + fsx [-TC],PMI base,43.15064582190729,6.42287375661076,3,OK
3,New + fsx [-TC],Neg self,23.71370339864023,6.317110104046466,3,OK
3,New + fsx [-TC],Neg base,48.64931726158937,3.2378537453837817,3,OK
4,New + PMI + fsx,Raw,44.897918653252084,5.504327248355229,3,OK
4,New + PMI + fsx,PMI self,25.19006558941506,10.504821154967244,3,OK
4,New + PMI + fsx,PMI base,52.4565472764113,4.8793987020925975,3,OK
4,New + PMI + fsx,Neg self,,,0,NA per template
4,New + PMI + fsx,Neg base,,,0,NA per template
5,RA + PMI + fsx [-NLL],Raw,54.17474068082148,3.461395475804994,3,OK
5,RA + PMI + fsx [-NLL],PMI self,58.04611239514524,1.7383535069674683,3,OK
5,RA + PMI + fsx [-NLL],PMI base,74.802733231489,2.039213577864708,3,OK
5,RA + PMI + fsx [-NLL],Neg self,,,0,NA per template
5,RA + PMI + fsx [-NLL],Neg base,,,0,NA per template
6,RA + PMI [+TC],Raw,28.950676812118047,7.734871874979477,3,OK
6,RA + PMI [+TC],PMI self,26.783774846839822,10.653063296958548,3,OK
6,RA + PMI [+TC],PMI base,55.08796162431611,6.4169561051096515,3,OK
6,RA + PMI [+TC],Neg self,,,0,NA per template
6,RA + PMI [+TC],Neg base,,,0,NA per template
7,New + NegTC + fsx,Raw,47.1152085162993,4.902742039337736,3,OK
7,New + NegTC + fsx,PMI self,,,0,NA per template
7,New + NegTC + fsx,PMI base,,,0,NA per template
7,New + NegTC + fsx,Neg self,35.7556309492231,11.40117606989549,3,OK
7,New + NegTC + fsx,Neg base,63.38439106207926,1.914347637256088,3,OK
8,RA + NegTC + fsx [-NLL],Raw,19.3221178002093,8.414602820426966,3,OK
8,RA + NegTC + fsx [-NLL],PMI self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],PMI base,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg self,15.444143306048547,4.650921270162899,3,OK
8,RA + NegTC + fsx [-NLL],Neg base,40.05071009629074,9.066763723230974,3,OK
9,RA + NegTC [+TC],Raw,50.95043707355271,1.7179242767308311,3,OK
9,RA + NegTC [+TC],PMI self,,,0,NA per template
9,RA + NegTC [+TC],PMI base,,,0,NA per template
9,RA + NegTC [+TC],Neg self,50.44579477907846,4.385463532599389,3,OK
9,RA + NegTC [+TC],Neg base,76.45773694094224,1.0367983562290444,3,OK
